"condition","expression","E1","E2","E3","E4","E5","E6"
"E56",0.966444055489662,1,1,1,1,0,0
"E56",1.16484323110896,1,1,1,1,0,0
"E56",0.969680802808999,1,1,1,1,0,0
"E56",0.836134123455209,1,1,1,1,0,0
"E56",0.850721720786861,1,1,1,1,0,0
"E56",1.09976284561164,1,1,1,1,0,0
"E56",0.948689068680676,1,1,1,1,0,0
"E56",0.942474845790893,1,1,1,1,0,0
"E56",0.907609793130772,1,1,1,1,0,0
"E56",0.80086929420758,1,1,1,1,0,0
"E56",1.0077204280784,1,1,1,1,0,0
"E56",1.07379543241733,1,1,1,1,0,0
"E56",1.05082900313058,1,1,1,1,0,0
"E56",0.979202607438618,1,1,1,1,0,0
"E56",0.824200734773478,1,1,1,1,0,0
"E56",1.05713131539001,1,1,1,1,0,0
"E56",0.909247583621101,1,1,1,1,0,0
"E56",0.919158041890375,1,1,1,1,0,0
"E56",0.878065604132531,1,1,1,1,0,0
"E12",0.390080900974559,0,0,1,1,1,1
"E12",0.398656646316866,0,0,1,1,1,1
"E12",0.38656806842863,0,0,1,1,1,1
"E12",0.385758207155373,0,0,1,1,1,1
"E12",0.397689105224552,0,0,1,1,1,1
"E12",0.389864924974523,0,0,1,1,1,1
"E12",0.389286329360135,0,0,1,1,1,1
"E12",0.380774959945842,0,0,1,1,1,1
"E12",0.362949010943574,0,0,1,1,1,1
"E12",0.385365670165271,0,0,1,1,1,1
"E12",0.383820905397172,0,0,1,1,1,1
"E12",0.393572773476202,0,0,1,1,1,1
"E12",0.39477199329196,0,0,1,1,1,1
"E12",0.378863630778007,0,0,1,1,1,1
"E12",0.391507473489934,0,0,1,1,1,1
"E12",0.383327262544633,0,0,1,1,1,1
"E12",0.404872559326444,0,0,1,1,1,1
"E12",0.388346972419822,0,0,1,1,1,1
"E12",0.405312022827257,0,0,1,1,1,1
"E12",0.38866459504507,0,0,1,1,1,1
"E12",0.40276122391031,0,0,1,1,1,1
"E12",0.390777136128656,0,0,1,1,1,1
"E12",0.387155863333312,0,0,1,1,1,1
"E12",0.391068950008871,0,0,1,1,1,1
"E12",0.407022686604415,0,0,1,1,1,1
"E12",0.380600267575977,0,0,1,1,1,1
"E12",0.38103309122359,0,0,1,1,1,1
"E12",0.408954751483216,0,0,1,1,1,1
"E12",0.396452940003456,0,0,1,1,1,1
"E12",0.372131612876289,0,0,1,1,1,1
"E12",0.404833828554982,0,0,1,1,1,1
"E12",0.399799888697103,0,0,1,1,1,1
"E12",0.376458656151414,0,0,1,1,1,1
"E12",0.383692512220507,0,0,1,1,1,1
"E12",0.402554059304035,0,0,1,1,1,1
"E12",0.394837421960631,0,0,1,1,1,1
"E12",0.398695431620465,0,0,1,1,1,1
"E12",0.38438314191543,0,0,1,1,1,1
"E12",0.390263764504667,0,0,1,1,1,1
"E12",0.395231706929008,0,0,1,1,1,1
"E12",0.394235208772358,0,0,1,1,1,1
"E12",0.385167436986656,0,0,1,1,1,1
"E12",0.392987754533604,0,0,1,1,1,1
"E12",0.388435531488179,0,0,1,1,1,1
"E12",0.396544254494057,0,0,1,1,1,1
"E12",0.372715671460079,0,0,1,1,1,1
"E12",0.384713596557817,0,0,1,1,1,1
"E12",0.393496171474435,0,0,1,1,1,1
"E12",0.393356458427152,0,0,1,1,1,1
"E12",0.384930568294071,0,0,1,1,1,1
"E12",0.400877576302317,0,0,1,1,1,1
"E12",0.387479766566458,0,0,1,1,1,1
"E12",0.396329249458526,0,0,1,1,1,1
"E12",0.389974190449679,0,0,1,1,1,1
"E12",0.399872173260143,0,0,1,1,1,1
"E12",0.396228226182811,0,0,1,1,1,1
"E12",0.383659774406242,0,0,1,1,1,1
"E12",0.385294580507038,0,0,1,1,1,1
"E12",0.376964604891384,0,0,1,1,1,1
"E12",0.397857127373417,0,0,1,1,1,1
"E12",0.396031911744899,0,0,1,1,1,1
"E12",0.391744742936294,0,0,1,1,1,1
"E12",0.37434899127514,0,0,1,1,1,1
"E12",0.380585264395737,0,0,1,1,1,1
"E12",0.388385550849108,0,0,1,1,1,1
"E12",0.380883235005084,0,0,1,1,1,1
"E12",0.386311543725831,0,0,1,1,1,1
"E12",0.406062472563488,0,0,1,1,1,1
"E12",0.394543721329214,0,0,1,1,1,1
"E12",0.376049035534914,0,0,1,1,1,1
"E12",0.377257846301172,0,0,1,1,1,1
"E12",0.400508457929552,0,0,1,1,1,1
"E12",0.39812291052885,0,0,1,1,1,1
"E12",0.386441853376086,0,0,1,1,1,1
"E12",0.391736839167263,0,0,1,1,1,1
"E12",0.396418382595197,0,0,1,1,1,1
"E12",0.36400364594926,0,0,1,1,1,1
"E12",0.396276693749891,0,0,1,1,1,1
"E12",0.412894294899693,0,0,1,1,1,1
"E12",0.384873482458051,0,0,1,1,1,1
"E12",0.393118661190608,0,0,1,1,1,1
"E12",0.383545555769087,0,0,1,1,1,1
"E12",0.380725194661824,0,0,1,1,1,1
"E12",0.409821109806049,0,0,1,1,1,1
"E12",0.375277111653987,0,0,1,1,1,1
"E12",0.402132267034786,0,0,1,1,1,1
"E12",0.389977643330286,0,0,1,1,1,1
"E12",0.382044534513748,0,0,1,1,1,1
"E12",0.396439577856691,0,0,1,1,1,1
"E12",0.362916788261797,0,0,1,1,1,1
"E12",0.397999173305868,0,0,1,1,1,1
"E12",0.405411114215899,0,0,1,1,1,1
"E12",0.386204321569822,0,0,1,1,1,1
"E12",0.385136542415133,0,0,1,1,1,1
"E12",0.378335700952239,0,0,1,1,1,1
"E12",0.397995495460145,0,0,1,1,1,1
"E12",0.393919695400103,0,0,1,1,1,1
"E12",0.390455832726694,0,0,1,1,1,1
"E12",0.384957153125967,0,0,1,1,1,1
"E12",0.390222781455965,0,0,1,1,1,1
"E14",0.667225746457349,0,1,1,0,1,1
"E14",0.558214688703601,0,1,1,0,1,1
"E14",0.573936700688961,0,1,1,0,1,1
"E14",0.582760151888726,0,1,1,0,1,1
"E14",0.565289053231086,0,1,1,0,1,1
"E14",0.566021006456679,0,1,1,0,1,1
"E14",0.619068782013912,0,1,1,0,1,1
"E14",0.592000939401553,0,1,1,0,1,1
"E14",0.600436824371949,0,1,1,0,1,1
"E14",0.664182306412801,0,1,1,0,1,1
"E14",0.606830038145073,0,1,1,0,1,1
"E14",0.680664466290332,0,1,1,0,1,1
"E14",0.667044420016849,0,1,1,0,1,1
"E14",0.605798578523696,0,1,1,0,1,1
"E14",0.654986158271488,0,1,1,0,1,1
"E14",0.610293538545077,0,1,1,0,1,1
"E14",0.567694311577973,0,1,1,0,1,1
"E14",0.586044378585366,0,1,1,0,1,1
"E14",0.595509449567636,0,1,1,0,1,1
"E14",0.626578890171737,0,1,1,0,1,1
"E14",0.621935188473767,0,1,1,0,1,1
"E14",0.617729695752679,0,1,1,0,1,1
"E14",0.636522515045479,0,1,1,0,1,1
"E14",0.552231486632604,0,1,1,0,1,1
"E14",0.635488484530297,0,1,1,0,1,1
"E14",0.601423523830867,0,1,1,0,1,1
"E14",0.619198335368673,0,1,1,0,1,1
"E14",0.614175379449728,0,1,1,0,1,1
"E14",0.564901720181421,0,1,1,0,1,1
"E14",0.587022604998252,0,1,1,0,1,1
"E14",0.568412382070931,0,1,1,0,1,1
"E14",0.618147988135975,0,1,1,0,1,1
"E14",0.599122542712844,0,1,1,0,1,1
"E14",0.593205200255775,0,1,1,0,1,1
"E14",0.582503661014101,0,1,1,0,1,1
"E14",0.578072047033337,0,1,1,0,1,1
"E14",0.626871419176544,0,1,1,0,1,1
"E14",0.561082052730794,0,1,1,0,1,1
"E14",0.591208310492688,0,1,1,0,1,1
"E14",0.605516176478889,0,1,1,0,1,1
"E14",0.633787422802988,0,1,1,0,1,1
"E14",0.573779487561166,0,1,1,0,1,1
"E14",0.58672946582389,0,1,1,0,1,1
"E14",0.55462331973175,0,1,1,0,1,1
"E14",0.583425995578112,0,1,1,0,1,1
"E14",0.583097018579399,0,1,1,0,1,1
"E14",0.637916524270101,0,1,1,0,1,1
"E14",0.614158013325788,0,1,1,0,1,1
"E14",0.598805666987007,0,1,1,0,1,1
"E14",0.624792540449122,0,1,1,0,1,1
"E14",0.587439423186014,0,1,1,0,1,1
"E14",0.595420411342729,0,1,1,0,1,1
"E14",0.607148145215982,0,1,1,0,1,1
"E14",0.649075546806222,0,1,1,0,1,1
"E14",0.61830536212599,0,1,1,0,1,1
"E14",0.610711418390943,0,1,1,0,1,1
"E14",0.546603491816001,0,1,1,0,1,1
"E14",0.605618033638605,0,1,1,0,1,1
"E14",0.600854024842578,0,1,1,0,1,1
"E14",0.567503233294038,0,1,1,0,1,1
"E14",0.598049915878956,0,1,1,0,1,1
"E14",0.600640128644146,0,1,1,0,1,1
"E14",0.612671295695824,0,1,1,0,1,1
"E14",0.617712972523953,0,1,1,0,1,1
"E14",0.605640525936093,0,1,1,0,1,1
"E14",0.63036752457075,0,1,1,0,1,1
"E14",0.619726313332168,0,1,1,0,1,1
"E14",0.631751240556904,0,1,1,0,1,1
"E14",0.635105716312047,0,1,1,0,1,1
"E14",0.61758206465495,0,1,1,0,1,1
"E14",0.609196758365419,0,1,1,0,1,1
"E14",0.566793160611524,0,1,1,0,1,1
"E14",0.576399395593034,0,1,1,0,1,1
"E14",0.568543524239741,0,1,1,0,1,1
"E14",0.544361679556035,0,1,1,0,1,1
"E14",0.554176308876808,0,1,1,0,1,1
"E14",0.567843371673851,0,1,1,0,1,1
"E14",0.578213583734074,0,1,1,0,1,1
"E14",0.593707839237078,0,1,1,0,1,1
"E14",0.671463694733094,0,1,1,0,1,1
"E14",0.606379450690847,0,1,1,0,1,1
"E14",0.595793260340239,0,1,1,0,1,1
"E14",0.596574593989336,0,1,1,0,1,1
"E14",0.583350558154185,0,1,1,0,1,1
"E14",0.57085749750308,0,1,1,0,1,1
"E14",0.585907534598338,0,1,1,0,1,1
"E14",0.584832238116329,0,1,1,0,1,1
"E14",0.586129506602488,0,1,1,0,1,1
"E14",0.539781725503152,0,1,1,0,1,1
"E14",0.614035506234292,0,1,1,0,1,1
"E14",0.646842518345228,0,1,1,0,1,1
"E14",0.575465758260775,0,1,1,0,1,1
"E14",0.615027911282836,0,1,1,0,1,1
"E14",0.603056829401373,0,1,1,0,1,1
"E14",0.622146405302305,0,1,1,0,1,1
"E14",0.577711603402085,0,1,1,0,1,1
"E14",0.630641096259959,0,1,1,0,1,1
"E14",0.547475422630363,0,1,1,0,1,1
"E14",0.58195193037544,0,1,1,0,1,1
"E14",0.590945948824988,0,1,1,0,1,1
"E23",0.29512152092274,1,0,0,1,1,1
"E23",0.294085604554254,1,0,0,1,1,1
"E23",0.308163966271545,1,0,0,1,1,1
"E23",0.305325657261212,1,0,0,1,1,1
"E23",0.320217293794212,1,0,0,1,1,1
"E23",0.286359058563366,1,0,0,1,1,1
"E23",0.335980179363389,1,0,0,1,1,1
"E23",0.310736841857224,1,0,0,1,1,1
"E23",0.305941430059811,1,0,0,1,1,1
"E23",0.303545702329174,1,0,0,1,1,1
"E23",0.337765386221253,1,0,0,1,1,1
"E23",0.301335455434526,1,0,0,1,1,1
"E23",0.312598410180807,1,0,0,1,1,1
"E23",0.305566926946755,1,0,0,1,1,1
"E23",0.349606879376476,1,0,0,1,1,1
"E23",0.293606023996349,1,0,0,1,1,1
"E23",0.309500772911441,1,0,0,1,1,1
"E23",0.256513017124067,1,0,0,1,1,1
"E23",0.329636834470733,1,0,0,1,1,1
"E23",0.296358567608926,1,0,0,1,1,1
"E23",0.347765757031368,1,0,0,1,1,1
"E23",0.314917913121953,1,0,0,1,1,1
"E23",0.305549190457905,1,0,0,1,1,1
"E23",0.330440698351167,1,0,0,1,1,1
"E23",0.296653924988776,1,0,0,1,1,1
"E23",0.367060463422452,1,0,0,1,1,1
"E23",0.315757962125906,1,0,0,1,1,1
"E23",0.296375652023892,1,0,0,1,1,1
"E23",0.319819015345259,1,0,0,1,1,1
"E23",0.318824939232954,1,0,0,1,1,1
"E23",0.29205587847008,1,0,0,1,1,1
"E23",0.30450568777753,1,0,0,1,1,1
"E23",0.332998820867242,1,0,0,1,1,1
"E23",0.314622956915504,1,0,0,1,1,1
"E23",0.311772095854011,1,0,0,1,1,1
"E23",0.290041584345888,1,0,0,1,1,1
"E23",0.319100171339777,1,0,0,1,1,1
"E23",0.294018058659504,1,0,0,1,1,1
"E23",0.318661284491104,1,0,0,1,1,1
"E23",0.313063930552214,1,0,0,1,1,1
"E23",0.294252519927642,1,0,0,1,1,1
"E23",0.268993577653391,1,0,0,1,1,1
"E23",0.295707079802189,1,0,0,1,1,1
"E23",0.319102987926665,1,0,0,1,1,1
"E23",0.347220721128051,1,0,0,1,1,1
"E23",0.306880149578007,1,0,0,1,1,1
"E23",0.29033221967577,1,0,0,1,1,1
"E23",0.283862967248282,1,0,0,1,1,1
"E23",0.290302302225454,1,0,0,1,1,1
"E23",0.29933022694182,1,0,0,1,1,1
"E23",0.347662814666979,1,0,0,1,1,1
"E23",0.299690202091009,1,0,0,1,1,1
"E23",0.293208112713934,1,0,0,1,1,1
"E23",0.312144522842252,1,0,0,1,1,1
"E23",0.30694350877027,1,0,0,1,1,1
"E23",0.288088663855513,1,0,0,1,1,1
"E23",0.31613475361726,1,0,0,1,1,1
"E23",0.31906600569708,1,0,0,1,1,1
"E23",0.357641882420947,1,0,0,1,1,1
"E23",0.3361306886459,1,0,0,1,1,1
"E23",0.316982350558815,1,0,0,1,1,1
"E23",0.286028730051051,1,0,0,1,1,1
"E23",0.32081922359583,1,0,0,1,1,1
"E23",0.31845906056134,1,0,0,1,1,1
"E23",0.298812345179565,1,0,0,1,1,1
"E23",0.29331085992858,1,0,0,1,1,1
"E23",0.305969641680377,1,0,0,1,1,1
"E23",0.343225659529291,1,0,0,1,1,1
"E23",0.322507025301722,1,0,0,1,1,1
"E23",0.343760140825137,1,0,0,1,1,1
"E23",0.316324199850319,1,0,0,1,1,1
"E23",0.270181781989925,1,0,0,1,1,1
"E23",0.294239923496222,1,0,0,1,1,1
"E23",0.30071410261709,1,0,0,1,1,1
"E23",0.317480876049151,1,0,0,1,1,1
"E23",0.305083644318489,1,0,0,1,1,1
"E23",0.341523039918948,1,0,0,1,1,1
"E23",0.329342124287111,1,0,0,1,1,1
"E23",0.291238370858209,1,0,0,1,1,1
"E23",0.310455552678178,1,0,0,1,1,1
"E23",0.31349581022413,1,0,0,1,1,1
"E23",0.289137768652546,1,0,0,1,1,1
"E23",0.314370296413738,1,0,0,1,1,1
"E23",0.33824146977808,1,0,0,1,1,1
"E23",0.287005403610482,1,0,0,1,1,1
"E23",0.315622739669063,1,0,0,1,1,1
"E23",0.3278970549022,1,0,0,1,1,1
"E23",0.295844924595763,1,0,0,1,1,1
"E23",0.277364034720617,1,0,0,1,1,1
"E23",0.328618597402096,1,0,0,1,1,1
"E23",0.303785561184919,1,0,0,1,1,1
"E23",0.296175153695275,1,0,0,1,1,1
"E23",0.291502535790149,1,0,0,1,1,1
"E23",0.326346955494486,1,0,0,1,1,1
"E23",0.301982647107015,1,0,0,1,1,1
"E23",0.305914365198245,1,0,0,1,1,1
"E23",0.297097411347096,1,0,0,1,1,1
"E23",0.327824796029506,1,0,0,1,1,1
"E23",0.280059799113238,1,0,0,1,1,1
"E23",0.320586599744841,1,0,0,1,1,1
